Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Ireland,2016,1738.7294,11.361818,0.32807183,,80713.984,0.971,0.929,81.6836,4.8,62.737,8.374
Ireland,2017,1745.6843,11.43419,0.31358823,,87863.664,0.974,0.934,82.1032,4.6,62.947,6.713
Israel,2010,1956.2672,12.49516,0.42559466,,37424.074,0.969,0.887,81.9742,6.3,91.826,8.48
Israel,2011,1946.813,12.59789,0.41444165,,38782.516,0.968,0.89,81.9892,6.6,91.892,7.139
Israel,2012,1918.9104,12.68892,0.41302204,,39040.465,0.97,0.891,81.9849,6.4,91.96,6.762
Israel,2013,1908.5657,12.80438,0.39870527,,39939.812,0.972,0.896,82.354,6.5,92.031,6.137
Israel,2014,1894.0676,12.91597,0.3975749,,40702.75,0.973,0.899,82.3608,6.2,92.104,5.789
Israel,2015,1895.4574,12.96025,0.3971953,,40827.438,0.976,0.899,82.2538,6.4,92.179,5.176
Israel,2016,1920.6106,13.055352,0.39013016,,41783.31,0.973,0.902,82.6123,6.2,92.256,4.723
Israel,2017,1920.6106,13.151153,0.38202065,,42732.34,0.986,0.906,82.6993,5.7,92.336,4.14
Italy,2010,1777.2737,9.82297,0.3471675,,50391.234,0.967,0.88,82.1319,3.7,68.327,8.363
Italy,2011,1773.2565,9.89796,0.35052994,,50654.496,0.967,0.883,82.2282,3.4,68.444,8.359
Italy,2012,1734.1747,10.0237,0.3515148,,48939.332,0.968,0.881,82.252,3.5,68.684,10.655
Italy,2013,1719.5074,10.12278,0.3490567,,47495.805,0.966,0.88,82.6522,3.2,68.979,12.149
Italy,2014,1717.1372,10.22186,0.34652385,,47061.367,0.966,0.882,82.9008,3.1,69.272,12.683
Italy,2015,1717.9958,10.30596,0.35390034,,47523.953,0.963,0.881,82.5211,3.2,69.565,11.896
